calcimycin,d03.633.100.221.173
plasmodium cynomolgi,b01.043.075.380.611.505
plasmodium knowlesi,b01.043.075.380.611.610
piroplasmia,b01.043.075.600
piroplasmida,b01.043.075.600.580
babesia bovis,b01.043.075.600.580.070.100
theileria,b01.043.075.600.580.700
theileria annulata,b01.043.075.600.580.700.100
theileria parva,b01.043.075.600.580.700.500
ciliophora,b01.043.185
kinetofragminophorea,b01.043.185.375
trichostomatida,b01.043.185.375.650
trichostomatina,b01.043.185.375.650.650
oligohymenophorea,b01.043.185.650
hymenostomatida,b01.043.185.650.375
peniculina,b01.043.185.650.375.550
paramecium tetraurelia,b01.043.185.650.375.550.637.700
tetrahymenina,b01.043.185.650.375.750
tetrahymena thermophila,b01.043.185.650.375.750.850.875
polymenophorea,b01.043.185.700
hypotrichida,b01.043.185.700.400
sporadotrichina,b01.043.185.700.400.750
euplotes,b01.043.185.700.400.750.375
oxytricha,b01.043.185.700.400.750.600
microsporidia,b01.300.360
microsporea,b01.300.360.500
microsporida,b01.300.360.500.500
apansporoblastina,b01.300.360.500.500.100
nosema,b01.300.360.500.500.100.400
encephalitozoon,b01.300.360.500.500.100.175
euglenida,b01.268.250
volvocida,b01.650.940.150.925
"antigens, human platelet",d23.050.705.115
chlamydomonas reinhardtii,b01.650.940.150.385.650
cd8 antigens,d23.050.301.264.894.108
cd8 antigens,d23.101.100.894.108
diplomonadida,b01.237
giardia lamblia,b01.237.385.400
kinetoplastida,b01.268.475
crithidia fasciculata,b01.268.475.868.110.350
"employment, supported",n01.824.245.350
"employment, supported",n02.421.784.644.350
trypanosoma brucei rhodesiense,b01.268.475.868.887.115
trichomonadida,b01.630.800
tritrichomonas foetus,b01.630.800.849.325
dictyosteliida,b01.046.550.200
physarida,b01.046.550.550.600
physarum polycephalum,b01.046.550.550.600.700.550
lobosea,b01.046.500
amoebida,b01.046.500.100
acanthopodina,b01.046.500.100.075
blastocystina,b01.046.500.100.200
blastocystis,b01.046.500.100.200.200
blastocystis hominis,b01.046.500.100.200.200.375
tubulina,b01.046.500.100.700
schizopyrenida,b01.046.500.700
naegleria fowleri,b01.046.500.700.710.375
"keratitis, herpetic",c02.256.466.382.465
"keratitis, herpetic",c02.325.465
"keratitis, herpetic",c11.204.564.425
"keratitis, herpetic",c11.294.800.475
limbus corneae,a09.371.060.217.659
orthobunyavirus,b04.820.087.640
housing for the elderly,j03.340.260
housing for the elderly,n01.224.791.400.410
housing for the elderly,n06.230.150.360.260
muromonab-cd3,d12.776.124.486.485.114.224.075.570
muromonab-cd3,d12.776.124.486.485.114.619.393.570
muromonab-cd3,d12.776.124.790.651.114.224.075.570
muromonab-cd3,d12.776.124.790.651.114.619.393.570
muromonab-cd3,d12.776.377.715.548.114.224.284.570
muromonab-cd3,d12.776.377.715.548.114.619.393.570
dental anxiety,f01.470.132.300
nairovirus,b04.820.087.565
phlebovirus,b04.820.087.710
hypocapnia,c23.888.852.614
mycoplasma fermentans,b03.440.860.580.553.553.315
lipoxygenase inhibitors,d27.505.519.389.480
cd4 immunoadhesins,d12.644.541.500.697.249
cd4 immunoadhesins,d12.776.124.486.485.538.500.249
cd4 immunoadhesins,d12.776.124.486.485.680.697.249
cd4 immunoadhesins,d12.776.124.790.651.538.500.249
cd4 immunoadhesins,d12.776.124.790.651.680.660.249
cd4 immunoadhesins,d12.776.377.715.548.538.500.249
cd4 immunoadhesins,d12.776.377.715.548.680.660.249
cd4 immunoadhesins,d12.776.395.550.200.230
cd4 immunoadhesins,d12.776.543.550.200.230
cd4 immunoadhesins,d12.776.828.300.200
cd4 immunoadhesins,d23.050.301.350.230
cyclooxygenase inhibitors,d27.505.519.389.310
cyclooxygenase inhibitors,d27.505.696.663.850.014.040.500.500
cyclooxygenase inhibitors,d27.505.954.158.030.500
cyclooxygenase inhibitors,d27.505.954.329.030.500
"tuberculoma, intracranial",c01.252.410.040.552.846.493.400
"tuberculoma, intracranial",c01.252.410.040.552.846.570.300
"tuberculoma, intracranial",c10.228.228.180.850.400
bacillaceae infections,c01.252.410.090
li-fraumeni syndrome,c04.700.600
li-fraumeni syndrome,c16.320.700.600
li-fraumeni syndrome,c18.452.284.520
reassortant viruses,b04.800
bacteroidaceae infections,c01.252.400.110
immunocompromised host,g12.470
serratia infections,c01.252.400.310.850
ureaplasma infections,c01.252.400.610.850
neisseriaceae infections,c01.252.400.625
pasteurellaceae infections,c01.252.400.700
ehrlichiosis,c01.252.400.054.160
ehrlichiosis,c01.252.400.825.200
neurofibrillary tangles,a08.675.609.520
neurofibrillary tangles,a11.284.430.214.190.750.640.520
neurofibrillary tangles,a11.671.573.520
tau proteins,d12.776.220.600.450.510
tau proteins,d12.776.631.560.510
metal ceramic alloys,d01.552.033.690
metal ceramic alloys,d25.058.520
metal ceramic alloys,d25.339.208.720
metal ceramic alloys,j01.637.051.058.520
metal ceramic alloys,j01.637.051.339.208.720
oxidants,d27.720.642
oxidants,d27.888.569.540
poems syndrome,c10.668.829.800.700
poems syndrome,c15.378.147.780.750
poems syndrome,c16.131.077.703
poems syndrome,c20.683.780.750
salvage therapy,e02.895
anisotropy,g01.590.040
anisotropy,g02.050
microsporidiosis,c01.703.617
iscoms,d20.215.894.860.449
diabetic ketoacidosis,c18.452.076.176.652.500
diabetic ketoacidosis,c18.452.394.750.535
diabetic ketoacidosis,c19.246.099.812
"polyendocrinopathies, autoimmune",c19.787
"polyendocrinopathies, autoimmune",c20.111.750
united states department of agriculture,i01.409.418.750.400
united states department of agriculture,n03.540.348.500.500.400
cardiopulmonary resuscitation,e02.365.647.110
angiodysplasia,c14.907.075
endometrial neoplasms,c04.588.945.418.948.585
endometrial neoplasms,c13.351.500.852.762.200
endometrial neoplasms,c13.351.937.418.875.200
encephalitozoonosis,c01.703.617.300
"polycystic kidney, autosomal dominant",c12.777.419.403.875.500
"polycystic kidney, autosomal dominant",c13.351.968.419.403.875.500
"polycystic kidney, autosomal dominant",c16.131.077.717.500
"polycystic kidney, autosomal dominant",c16.320.184.625.500
carotid stenosis,c10.228.140.300.200.360
carotid stenosis,c14.907.137.230
carotid stenosis,c14.907.253.123.360
"endarterectomy, carotid",e04.100.814.456.250
"culture media, serum-free",d27.720.470.305.255
"culture media, serum-free",e07.206.255
treatment outcome,e01.789.800
treatment outcome,n04.761.559.590.800
treatment outcome,n05.715.360.575.575.800
respiratory burst,g03.197.620
respiratory burst,g04.270.620
interferon-alpha,d12.644.276.374.440.890.250
interferon-alpha,d12.776.467.374.440.890.250
interferon-alpha,d23.529.374.440.890.250
interferon-beta,d12.644.276.374.440.890.275
interferon-beta,d12.776.467.374.440.890.275
interferon-beta,d23.529.374.440.890.275
neurofilament proteins,d05.750.078.593.630
neurofilament proteins,d12.776.220.475.630
neurofilament proteins,d12.776.631.630
intergenerational relations,f01.829.263.370.110
intergenerational relations,f01.829.401.190
"air pollution, indoor",n06.850.460.100.080
drug monitoring,e01.370.520.200
gram-negative bacterial infections,c01.252.400
interleukin-9,d12.644.276.374.465.377
interleukin-9,d12.776.467.374.465.312
interleukin-9,d23.529.374.465.377
adverse drug reaction reporting systems,e05.337.800.120
adverse drug reaction reporting systems,n02.421.668.320.120
gram-positive bacterial infections,c01.252.410
tibial arteries,a07.015.114.895
orthodontic brackets,e06.658.453.255.500
koro,f01.470.132.150.500
levonorgestrel,d04.210.500.668.651.693.762.450
blood component transfusion,e02.095.135.140
ribonuclease h,d08.811.277.352.355.350.700
ribonuclease h,d08.811.277.352.700.350.700
aids vaccines,d20.215.894.899.050
"joint deformities, acquired",c05.550.515
"angiomatosis, bacillary",c01.252.400.126.100.050
"angiomatosis, bacillary",c01.252.825.150
"angiomatosis, bacillary",c01.539.800.720.150
"angiomatosis, bacillary",c14.907.077.060
"angiomatosis, bacillary",c17.800.838.765.150
"angiomatosis, bacillary",c17.800.862.060
"arthritis, reactive",c01.539.100.500
"arthritis, reactive",c05.116.900.853.625.800.637
"arthritis, reactive",c05.550.114.099.500
"arthritis, reactive",c05.550.114.865.800.637
"meningitis, cryptococcal",c01.703.181.500.500
"meningitis, cryptococcal",c01.703.248.290
"meningitis, cryptococcal",c10.228.228.198.500.500
"meningitis, cryptococcal",c10.228.614.300.500
"meningitis, bacterial",c01.252.200.500
"meningitis, bacterial",c10.228.228.180.500
"meningitis, bacterial",c10.228.614.280
"meningitis, fungal",c01.703.181.500
"meningitis, fungal",c10.228.228.198.500
"meningitis, fungal",c10.228.614.300
cellular senescence,g04.043
cell death,g04.146
actinomyces viscosus,b03.510.024.049.050.050.050
actinomyces viscosus,b03.510.460.400.400.049.049.178.800
corynebacterium pseudotuberculosis,b03.510.024.049.180.600
corynebacterium pseudotuberculosis,b03.510.460.400.400.200.600
mycobacterium chelonae,b03.510.024.049.525.500.720.225
mycobacterium chelonae,b03.510.460.400.410.552.552.720.225
mycobacterium avium subsp. paratuberculosis,b03.510.024.049.525.500.300.600
mycobacterium avium subsp. paratuberculosis,b03.510.460.400.410.552.552.300.600
rhodococcus equi,b03.510.024.049.537.775.700
saccharopolyspora,b03.300.390.400.790
saccharopolyspora,b03.510.024.049.750
saccharopolyspora,b03.510.415.400.790
saccharopolyspora,b03.510.460.410.790
halobacteriales,b02.200.400
caulobacter,b03.440.400.280
caulobacter,b03.440.400.425.288.100
caulobacter,b03.660.050.090.100
caulobacter crescentus,b03.440.400.280.280
caulobacter crescentus,b03.440.400.425.288.100.100
caulobacter crescentus,b03.660.050.090.100.100
gram-positive endospore-forming bacteria,b03.300.390
gram-positive endospore-forming bacteria,b03.510.415
gram-positive endospore-forming rods,b03.300.390.400
gram-positive endospore-forming rods,b03.510.415.400
gram-positive endospore-forming rods,b03.510.460.410
myxococcus,b03.660.125.500.605
myxococcus xanthus,b03.660.125.500.605.900
sulfolobales,b02.075.725
sulfolobaceae,b02.075.725.725
sulfolobus,b02.075.725.725.725
sulfolobus acidocaldarius,b02.075.725.725.725.070
gram-negative aerobic rods and cocci,b03.440.400.425
acetobacteraceae,b03.440.400.425.100
acetobacteraceae,b03.660.050.755.050
azotobacter vinelandii,b03.440.400.425.625.050.850
azotobacter vinelandii,b03.660.250.580.022.820
azospirillum,b03.440.400.425.708.100
azospirillum,b03.660.050.755.750.100
bordetella bronchiseptica,b03.440.400.425.115.425.050
bordetella bronchiseptica,b03.660.075.090.344.425.050
legionellaceae,b03.440.400.425.450
legionellaceae,b03.660.250.460
legionella pneumophila,b03.440.400.425.450.450.500
legionella pneumophila,b03.660.250.460.460.580
leptospiraceae,b03.440.400.425.475
leptospiraceae,b03.851.475
acinetobacter calcoaceticus,b03.440.400.425.537.050.200
acinetobacter calcoaceticus,b03.660.250.530.050.200
moraxella (moraxella) bovis,b03.440.400.425.537.525.500
moraxella (moraxella) bovis,b03.660.250.530.525.500
burkholderia cepacia,b03.660.075.090.688.100.110.500
burkholderia pseudomallei,b03.660.075.090.688.100.600
pseudomonas putida,b03.440.400.425.625.625.675
pseudomonas putida,b03.660.250.580.590.580
xanthomonas campestris,b03.440.400.425.967.930.100
xanthomonas campestris,b03.660.250.915.930.100
agrobacterium tumefaciens,b03.440.400.425.700.024.050
agrobacterium tumefaciens,b03.660.050.662.024.500
rhizobium leguminosarum,b03.440.400.425.700.800.450
rhizobium leguminosarum,b03.585.900.450
rhizobium leguminosarum,b03.660.050.662.670.450
sinorhizobium meliloti,b03.440.400.425.700.887.500
sinorhizobium meliloti,b03.660.050.662.835.800
thermus thermophilus,b03.440.400.425.875.875
gram-negative anaerobic cocci,b03.440.425.400
"gram-negative anaerobic straight, curved, and helical rods",b03.440.425.410
porphyromonas gingivalis,b03.140.094.625.515
porphyromonas gingivalis,b03.440.425.410.194.625.515
fusobacterium nucleatum,b03.370.250.500
fusobacterium nucleatum,b03.440.425.410.420.500
wolinella,b03.440.425.410.875
wolinella,b03.660.150.235.500.500
desulfovibrio vulgaris,b03.440.425.410.350.875
desulfovibrio vulgaris,b03.660.125.144.500.875.875
desulfovibrio vulgaris,b03.900.350.875
eikenella,b03.440.450.400
eikenella,b03.660.075.525.170
citrobacter freundii,b03.440.450.425.200.275
citrobacter freundii,b03.660.250.150.100.210
enterobacter cloacae,b03.440.450.425.275.200
enterobacter cloacae,b03.660.250.150.170.100
pectobacterium carotovorum,b03.440.450.425.585.120
pectobacterium carotovorum,b03.660.250.150.542.120
pectobacterium chrysanthemi,b03.440.450.425.585.150
pectobacterium chrysanthemi,b03.660.250.150.542.150
gardnerella,b03.510.024.400
aggregatibacter actinomycetemcomitans,b03.440.450.600.224.500
aggregatibacter actinomycetemcomitans,b03.660.250.550.170.500
actinobacillus pleuropneumoniae,b03.440.450.009.580
actinobacillus pleuropneumoniae,b03.660.250.550.050.580
mannheimia haemolytica,b03.440.450.600.500.500
mannheimia haemolytica,b03.660.250.550.500.500
pasteurella multocida,b03.440.450.600.600.500
pasteurella multocida,b03.660.250.550.590.500
aeromonas hydrophila,b03.440.450.019.025.380
plesiomonas,b03.440.450.425.595
plesiomonas,b03.660.250.150.550
micrococcus luteus,b03.510.024.049.475.500.500
micrococcus luteus,b03.510.400.500.500.400
enterococcus,b03.353.750.250.250
enterococcus,b03.510.550.250.250
enterococcus faecium,b03.353.750.250.250.300
enterococcus faecium,b03.510.550.250.250.300
streptococcus bovis,b03.353.750.737.872.150
streptococcus bovis,b03.510.400.800.872.150
streptococcus bovis,b03.510.550.737.872.150
streptococcus sobrinus,b03.353.750.737.872.875.750
streptococcus sobrinus,b03.510.400.800.872.875.750
streptococcus sobrinus,b03.510.550.737.872.875.750
gram-positive rods,b03.510.460
"gram-positive asporogenous rods, irregular",b03.510.460.400.400
"gram-positive asporogenous rods, regular",b03.510.460.400.410
ureaplasma urealyticum,b03.440.860.580.553.900.800
spiroplasmataceae,b03.440.860.300.750
rhodobacter,b03.440.623
rhodobacter,b03.660.050.750.700
chlamydophila pneumoniae,b03.440.190.190.230.249
ehrlichia ruminantium,b03.440.040.287.700
ehrlichia ruminantium,b03.660.050.783.500.287.700
rickettsieae,b03.440.647.650
rickettsieae,b03.660.050.765.650
coxiella burnetii,b03.440.400.425.297.150.100
coxiella burnetii,b03.660.250.132.150.100
helicobacter,b03.440.500
helicobacter,b03.660.150.235.500.250
sulfur-reducing bacteria,b03.900
campylobacter coli,b03.440.180.200
campylobacter coli,b03.660.150.235.250.500.100
tooth demineralization,c07.793.720
torovirus,b04.820.504.540.800
codependency (psychology),f01.145.194
dental debonding,e06.178
rotator cuff,a02.633.567.912
rotator cuff,a02.880.700
duty to warn,f01.829.401.046.800.200
duty to warn,f04.096.544.335.240.270
duty to warn,i01.880.604.583.080.134.800.200
duty to warn,i01.880.604.583.080.270
duty to warn,n03.706.535.230.270
negotiating,f01.145.209.520
negotiating,f01.829.401.520
negotiating,f02.463.785.373.520
negotiating,l01.143.620
negotiating,n04.452.677.430
professional autonomy,n04.452.758.752
reminder systems,l01.143.820
reminder systems,l01.313.500.750.300.790
streptococcus suis,b03.353.750.737.872.750
streptococcus suis,b03.510.400.800.872.750
streptococcus suis,b03.510.550.737.872.750
methanobacteriales,b02.200.492
methanobacteriaceae,b02.200.492.500
methanobacterium,b02.200.492.500.500
methanococcales,b02.200.538
methanococcaceae,b02.200.538.525
methanococcus,b02.200.538.525.500
methanomicrobiales,b02.200.705
methanosarcinaceae,b02.200.765.550
methanosarcina,b02.200.765.550.550
methanosarcina barkeri,b02.200.765.550.550.200
flow injection analysis,e05.196.460
coronary angiography,e01.370.350.130.625
coronary angiography,e01.370.350.700.060.200
coronary angiography,e01.370.370.050.200
coronary angiography,e01.370.370.380.200
"chemotherapy, adjuvant",e02.186.170
"chemotherapy, adjuvant",e02.319.170
swainsonine,d03.132.830
protein tyrosine phosphatases,d08.811.277.352.650.775
caregivers,m01.085
caregivers,m01.526.485.200
caregivers,n02.360.200
"epilepsy, complex partial",c10.228.140.490.360.260
anabaena,b03.280.100
anabaena,b03.440.475.100.100
anabaena,b03.585.051
"epilepsy, frontal lobe",c10.228.140.490.360.270
"epilepsy, frontal lobe",c10.228.140.490.493.188
pravastatin,d02.455.426.559.847.638.930
pravastatin,d04.615.638.930
epilepsia partialis continua,c10.597.742.785.260
epilepsia partialis continua,c23.888.592.742.785.260
dinitrogenase reductase,d08.811.682.647.200
mannosyl-glycoprotein endo-beta-n-acetylglucosaminidase,d08.811.277.450.483.765
ethics committees,k01.752.566.479.147
ethics committees,n04.452.758.788.300
ethics committees,n05.350.268
ethics committees,n05.700.685.300
"phenylketonuria, maternal",c10.228.140.163.100.687.500
"phenylketonuria, maternal",c13.703.575
"phenylketonuria, maternal",c16.320.565.100.766.500
"phenylketonuria, maternal",c16.320.565.189.687.500
"phenylketonuria, maternal",c18.452.132.100.687.500
"phenylketonuria, maternal",c18.452.648.100.766.500
"phenylketonuria, maternal",c18.452.648.189.687.500
chalazion,c04.182.197
chalazion,c11.338.300
"polycystic kidney, autosomal recessive",c12.777.419.403.875.510
"polycystic kidney, autosomal recessive",c13.351.968.419.403.875.510
"polycystic kidney, autosomal recessive",c16.131.077.717.510
"polycystic kidney, autosomal recessive",c16.320.184.625.510
lactococcus,b03.353.750.737.500
lactococcus,b03.510.400.800.500
lactococcus,b03.510.550.737.500
cost savings,n03.219.151.160.200
cost sharing,n03.219.151.170
cost sharing,n03.219.521.576.090
health care costs,n03.219.151.400
health care costs,n05.300.375
employer health costs,n03.219.151.400.375
employer health costs,n05.300.375.350
episode of care,e02.760.300
episode of care,n02.421.585.300
hospice care,e02.760.905.400
hospice care,n02.421.585.905.400
hospital mortality,e05.318.308.985.550.400
hospital mortality,n01.224.935.698.400
hospital mortality,n06.850.505.400.975.550.400
hospital mortality,n06.850.520.308.985.550.400
infection control,n06.850.780.200.450
"insurance, medigap",n03.219.521.576.343.539
medical laboratory personnel,m01.526.485.510
medical laboratory personnel,m01.526.502.500
medical laboratory personnel,n02.360.510
medically uninsured,m01.385
mexican americans,m01.686.754.441.500
"models, econometric",e05.318.740.500.600.500
"models, econometric",e05.599.835.890.500
"models, econometric",n05.715.360.750.530.500.500
"models, econometric",n06.850.520.830.500.600.500
patient satisfaction,f01.100.150.750.625
patient satisfaction,f01.145.488.887.625
patient satisfaction,n04.452.822.700
patient satisfaction,n05.300.150.800.625
patient satisfaction,n05.715.360.600
prepaid health plans,n03.219.521.576.343.925
small-area analysis,e05.318.740.250.675
small-area analysis,n05.715.360.750.200.750
small-area analysis,n06.850.520.830.250.675
outcome assessment (health care),h01.770.644.145.431
outcome assessment (health care),n04.761.559.590
outcome assessment (health care),n05.715.360.575.575
process assessment (health care),n04.761.559.650
process assessment (health care),n05.715.360.575.625
practice guideline,v02.515.500
neostriatum,a08.186.211.200.885.287.249.487.550
atherectomy,e02.148.050.120
atherectomy,e04.100.814.529.124.120
atherectomy,e04.502.382.124.120
atherectomy,e05.157.016.120
common variable immunodeficiency,c20.673.330
laser coagulation,e02.520.745.410
laser coagulation,e02.594.530
laser coagulation,e04.014.520.530
laser coagulation,e04.350.750.410
laser coagulation,e04.540.630.410
computer-aided design,l01.224.108.150
computer-aided design,l01.296.110.150
"culture media, conditioned",d27.720.470.305.250
"culture media, conditioned",e07.206.250
laser-doppler flowmetry,e01.370.370.475
laser-doppler flowmetry,e05.830.500
exercise tolerance,g11.427.680.270
"cholecystectomy, laparoscopic",e04.210.120.172.140
"cholecystectomy, laparoscopic",e04.502.250.520.160
portal pressure,g09.330.380.076.732.650
"otoacoustic emissions, spontaneous",g11.561.790.263.570
alpha-thalassemia,c15.378.071.141.150.875.100
alpha-thalassemia,c15.378.420.826.100
alpha-thalassemia,c16.320.070.875.100
alpha-thalassemia,c16.320.365.826.100
beta-thalassemia,c15.378.071.141.150.875.150
beta-thalassemia,c15.378.420.826.150
beta-thalassemia,c16.320.070.875.150
beta-thalassemia,c16.320.365.826.150
animal rights,i01.880.604.100.100
aids-related opportunistic infections,c01.539.597.050
aids-related opportunistic infections,c02.597.050
aids-related opportunistic infections,c02.782.815.616.400.100
aids-related opportunistic infections,c03.684.050
aids-related opportunistic infections,c20.673.480.100
ankyrin repeat,g02.111.570.060.720.030
ankyrin repeat,g02.111.570.820.709.275.500.030
ankyrin repeat,g02.111.570.820.709.275.750.500.080
ankyrin repeat,g02.111.570.820.709.275.875.030
occlusal splints,e06.658.453.510
"colitis, ischemic",c06.405.205.265.115
"colitis, ischemic",c06.405.469.158.188.115
"colitis, ischemic",c14.907.286
"porphyria, erythropoietic",c16.320.850.738
"porphyria, erythropoietic",c17.800.827.738
"porphyria, erythropoietic",c18.452.811.250
liver failure,c06.552.308.500
"porphyrias, hepatic",c06.552.830
"porphyrias, hepatic",c16.320.850.742
"porphyrias, hepatic",c17.800.827.742
"porphyrias, hepatic",c18.452.811.400
prion diseases,c10.228.228.800
prion diseases,c10.574.843
electric impedance,g01.358.500.249.277.350
iga deficiency,c15.378.147.333.500
iga deficiency,c20.673.430.500
igg deficiency,c15.378.147.333.750
igg deficiency,c20.673.430.750
bacteriophage p22,b04.123.150.700.070
bacteriophage p22,b04.123.706.070
bacteriophage p22,b04.280.090.700.070
bacteriophage p1,b04.123.150.500.300
bacteriophage p1,b04.123.205.300
bacteriophage p1,b04.280.090.500.300
fracture healing,g16.762.891.500
bacillus phages,b04.123.100
bacteriophage m13,b04.123.205.250
bacteriophage m13,b04.123.370.400.250
bacteriophage m13,b04.280.400.400.250
pseudomonas phages,b04.123.660
streptococcus phages,b04.123.850
"akathisia, drug-induced",c10.228.662.037
"akathisia, drug-induced",c10.720.075
"akathisia, drug-induced",c23.888.592.350.600.500
"akathisia, drug-induced",c25.100.249
"akathisia, drug-induced",c25.723.705.100
freeze substitution,e01.370.225.500.620.760.160.260.270
freeze substitution,e01.370.225.750.600.760.160.260.270
freeze substitution,e02.792.156.260.270
freeze substitution,e05.200.500.620.760.160.260.270
freeze substitution,e05.200.750.600.760.160.260.270
freeze substitution,e05.760.156.260.270
phodopus,b01.050.150.900.649.313.992.635.075.250.630
"liver failure, acute",c06.552.308.500.750
catheter ablation,e02.808.750.500
catheter ablation,e04.014.760.500
low back pain,c23.888.592.612.107.400
"porphyria, acute intermittent",c06.552.830.150
"porphyria, acute intermittent",c16.320.850.742.150
"porphyria, acute intermittent",c17.800.827.742.150
"porphyria, acute intermittent",c18.452.811.400.150
porphyria cutanea tarda,c06.552.830.100
porphyria cutanea tarda,c16.320.850.742.250
porphyria cutanea tarda,c17.800.827.742.250
porphyria cutanea tarda,c18.452.811.400.250
"nystagmus, optokinetic",g14.350.378.500
"porphyria, hepatoerythropoietic",c06.552.830.437
"porphyria, hepatoerythropoietic",c16.320.850.742.437
"porphyria, hepatoerythropoietic",c17.800.827.742.437
"porphyria, hepatoerythropoietic",c18.452.811.400.437
bacteriophage t4,b04.123.150.500.350
bacteriophage t4,b04.123.205.891.200
bacteriophage t4,b04.280.090.500.350
bacteriophage t7,b04.123.150.700.230
bacteriophage t7,b04.123.205.891.230
bacteriophage t7,b04.280.090.700.230
conserved sequence,g02.111.570.580
"genes, protozoan",g05.360.340.024.340.396
"genes, protozoan",g05.360.340.397.500
bacteriophage phi 6,b04.123.660.550
bacteriophage phi 6,b04.123.691.230.070
bacteriophage phi 6,b04.820.180.070
"glycation end products, advanced",d12.776.643.500
embolectomy,e04.100.814.445
anisakiasis,c03.335.508.700.100.060
anisakiasis,c03.432.060
anisakiasis,c06.405.469.452.060
angioplasty,e02.148.050
angioplasty,e04.100.814.529.124
angioplasty,e04.502.382.124
angioplasty,e05.157.016
thrombectomy,e04.100.814.842
workplace,n01.824.245.925
workplace,n04.452.677.975
desogestrel,d04.210.500.668.651.693.175
ion transport,g03.143.500
nonoxynol,d02.033.455.250.700.620
nonoxynol,d05.750.741.575
nonoxynol,d25.720.741.575
nonoxynol,j01.637.051.720.741.575
fuzzy logic,e05.599.250
fuzzy logic,k01.752.448.250
fuzzy logic,l01.224.050.375.250
focus groups,e05.318.308.112
focus groups,n05.715.360.300.269
focus groups,n06.850.520.308.112
"models, educational",e05.599.545
"models, educational",i02.903.302
"models, organizational",e05.599.670
"models, organizational",n04.452.534
"defibrillators, implantable",e07.305.250.159.175
"defibrillators, implantable",e07.305.250.319.175
"defibrillators, implantable",e07.695.202.175
"infusions, intraosseous",e02.319.267.510.560
private sector,i01.791
private sector,n04.452.633.390
public sector,i01.795
public sector,n04.452.633.890
"antibodies, catalytic",d12.776.124.486.485.114.167
"antibodies, catalytic",d12.776.124.790.651.114.167
"antibodies, catalytic",d12.776.377.715.548.114.167
"antibodies, antiphospholipid",d12.776.124.486.485.114.323.210
"antibodies, antiphospholipid",d12.776.124.790.651.114.323.210
"antibodies, antiphospholipid",d12.776.377.715.548.114.323.210
"antibodies, anticardiolipin",d12.776.124.486.485.114.323.210.100
"antibodies, anticardiolipin",d12.776.124.790.651.114.323.210.100
"antibodies, anticardiolipin",d12.776.377.715.548.114.323.210.100
stromal cells,a11.329.830
wettability,g02.409.500
wettability,g02.860.908
photoplethysmography,e01.370.370.610.600
adenophorea,b01.050.500.500.294.100
enoplida,b01.050.500.500.294.100.275
dioctophymatoidea,b01.050.500.500.294.100.275.200
trichinella spiralis,b01.050.500.500.294.100.275.780.608.700
ascaridida,b01.050.500.500.294.400.500
anisakis,b01.050.500.500.294.400.500.100.075
ascaris lumbricoides,b01.050.500.500.294.400.500.100.108.425
ascaris suum,b01.050.500.500.294.400.500.100.108.700
toxocara canis,b01.050.500.500.294.400.500.100.780.225
oxyurida,b01.050.500.500.294.400.750
rhabditida,b01.050.500.500.294.400.875
"neoplasms, post-traumatic",c04.666
strongyloides ratti,b01.050.500.500.294.400.875.640.680.600
strongyloides stercoralis,b01.050.500.500.294.400.875.640.680.700
rhabditoidea,b01.050.500.500.294.400.875.660
caenorhabditis elegans,b01.050.500.500.294.400.875.660.250.250
spirurida,b01.050.500.500.294.400.937
camallanina,b01.050.500.500.294.400.937.225
dracunculoidea,b01.050.500.500.294.400.937.225.250
spirurina,b01.050.500.500.294.400.937.700
brugia malayi,b01.050.500.500.294.400.937.463.088.500
brugia pahangi,b01.050.500.500.294.400.937.463.088.550
"tachycardia, ventricular",c14.280.067.845.940
"tachycardia, ventricular",c14.280.123.875.940
"tachycardia, ventricular",c23.550.073.845.940
onchocerca volvulus,b01.050.500.500.294.400.937.463.510.850
setaria nematode,b01.050.500.500.294.400.937.463.700
strongylida,b01.050.500.500.294.400.968
nematospiroides,b01.050.500.500.294.400.968.400.550
angiostrongylus cantonensis,b01.050.500.500.294.400.968.588.080.225
titrimetry,e05.196.922
tylenchida,b01.050.500.500.294.400.984
adenophorea infections,c03.335.508.100
enoplida infections,c03.335.508.100.275
secernentea infections,c03.335.508.700
ascaridida infections,c03.335.508.700.100
"skin diseases, bacterial",c01.252.825
"skin diseases, bacterial",c01.539.800.720
"skin diseases, bacterial",c17.800.838.765
"skin diseases, viral",c02.825
"skin diseases, viral",c17.800.838.790
oxyurida infections,c03.335.508.700.550
adolescent nutritional physiological phenomena,g07.203.650.220.060
rhabditida infections,c03.335.508.700.700
virus shedding,g07.925
myocardial ischemia,c14.280.647
myocardial ischemia,c14.907.585
interview,v01.175.250
interview,v02.170.500
interview,v02.530.150.500
angelman syndrome,c10.228.662.075
angelman syndrome,c16.131.077.095
angelman syndrome,c16.131.260.040
angelman syndrome,c16.320.180.040
spirurida infections,c03.335.508.700.750
strongylida infections,c03.335.508.700.775
"rats, sprague-dawley",b01.050.150.900.649.313.992.635.505.700.750
"rats, wistar",b01.050.150.900.649.313.992.635.505.700.900
apoptosis,g04.146.160
tilapia,b01.050.150.900.493.602.200.800
treatment failure,e01.789.800.760
treatment failure,n04.761.559.590.800.760
treatment failure,n05.715.360.575.575.800.760
root caries,c07.793.720.210.650
laryngeal masks,e02.041.500.475
laryngeal masks,e02.585.578.475
